,Rank,Participant,Result,Event,Year
5261,4.0,Rahel Fseha GEBRESILASSIE  ETH,32.51,50m-freestyle-women,2016
5262,5.0,Siri Arun BUDCHARERN  LAO,32.55,50m-freestyle-women,2016
5263,6.0,Adzo Rebecca KPOSSI  TOG,33.44,50m-freestyle-women,2016
5264,7.0,Elsie UWAMAHORO  BDI,33.7,50m-freestyle-women,2016
5265,8.0,Fatoumata SAMASSEKOU  MLI,33.71,50m-freestyle-women,2016
5266,1.0,Colleen FURGESON  MHL,28.16,50m-freestyle-women,2016
5267,2.0,Yesui BAYAR  MGL,28.4,50m-freestyle-women,2016
5268,3.0,Miri ALATRASH  PLE,28.76,50m-freestyle-women,2016
5269,4.0,Vitiny HEMTHON  CAM,29.37,50m-freestyle-women,2016
5270,5.0,Magdalena MOSHI  TAN,29.44,50m-freestyle-women,2016
5271,6.0,Ammara PINTO  MAW,30.32,50m-freestyle-women,2016
5272,7.0,Debra DANIEL  FSM,30.83,50m-freestyle-women,2016
5273,1.0,Faye HUSAIN  IOA,26.86,50m-freestyle-women,2016
5274,2.0,Naomy GRAND PIERRE  HAI,27.46,50m-freestyle-women,2016
5275,3.0,Samantha ROBERTS  ANT,27.95,50m-freestyle-women,2016
5276,4.0,Noura MANA  MAR,28.2,50m-freestyle-women,2016
5277,5.0,Irene PRESCOTT  TGA,28.68,50m-freestyle-women,2016
5278,6.0,Jamila SANMOOGAN  GUY,28.88,50m-freestyle-women,2016
5279,7.0,Lianna SWAN  PAK,29.02,50m-freestyle-women,2016
5280,1.0,Karen TORREZ  BOL,26.16,50m-freestyle-women,2016
5281,2.0,Naomi RUELE  BOT,26.23,50m-freestyle-women,2016
5282,3.0,Elinah PHILLIP  IVB,26.26,50m-freestyle-women,2016
5283,4.0,Baean JOUMA  SYR,26.41,50m-freestyle-women,2016
5284,5.0,Talita BAQLAH  JOR,26.48,50m-freestyle-women,2016
5285,6.0,Rebecca HEYLIGER  BER,26.54,50m-freestyle-women,2016
5286,7.0,Nicola MUSCAT  MLT,26.6,50m-freestyle-women,2016
5287,8.0,Dorian Maria Grayce MCMENEMY TAYLOR  DOM,27.37,50m-freestyle-women,2016
5288,1.0,Susann BJORNSEN  NOR,25.05,50m-freestyle-women,2016
5289,2.0,Julie MEYNEN  LUX,25.12,50m-freestyle-women,2016
5290,3.0,Liliana IBANEZ LOPEZ  MEX,25.25,50m-freestyle-women,2016
5291,4.0,Isabella ARCILA HURTADO  COL,25.35,50m-freestyle-women,2016
5292,5.0,Alexandra TOURETSKI  SUI,25.66,50m-freestyle-women,2016
5293,6.0,Camille CHENG  HKG,25.92,50m-freestyle-women,2016
5294,7.0,Allyson PONSON  ARU,26.0,50m-freestyle-women,2016
5295,8.0,Pei-Wun LIN  TPE,26.41,50m-freestyle-women,2016
5296,1.0,Vanessa GARCIA  PUR,24.94,50m-freestyle-women,2016
5297,2.0,Melanie HENIQUE  FRA,25.36,50m-freestyle-women,2016
5298,3.0,Zohar SHIKLER  ISR,25.38,50m-freestyle-women,2016
5299,4.0,Erika FERRAIOLI  ITA,25.4,50m-freestyle-women,2016
5300,5.0,Anna DOWGIERT  POL,25.54,50m-freestyle-women,2016
5301,6.0,Birgit KOSCHISCHEK  AUT,25.58,50m-freestyle-women,2016
5302,7.0,Yayoi MATSUMOTO  JPN,25.73,50m-freestyle-women,2016
5303,1.0,Inge DEKKER  NED,24.77,50m-freestyle-women,2016
5304,2.0,Farida OSMAN  EGY,24.91,50m-freestyle-women,2016
5305,3.0,Yuliya KXITRAYA  BLR,25.18,50m-freestyle-women,2016
5306,4.0,Aleksandra URBANCZYK  POL,25.28,50m-freestyle-women,2016
5307,5.0,Theodora DRAKOU  GRE,25.36,50m-freestyle-women,2016
5308,6.0,Andrea MUREZ  ISR,25.41,50m-freestyle-women,2016
5309,7.0,Rikako IKEE  JPN,25.45,50m-freestyle-women,2016
5310,8.0,Darya STEPANYUK  UKR,25.67,50m-freestyle-women,2016
5311,1.0,Aliaksandra HERASIMENIA  BLR,24.42,50m-freestyle-women,2016
5312,2.0,Abbey WEITZEIL  USA,24.48,50m-freestyle-women,2016
5313,3.0,Chantal VAN LANDEGHEM  CAN,24.57,50m-freestyle-women,2016
5314,3.0,Ranomi KROMOWIDJOJO  NED,24.57,50m-freestyle-women,2016
5315,5.0,Xiang LIU  CHN,24.91,50m-freestyle-women,2016
5316,6.0,Anna SANTAMANS  FRA,24.93,50m-freestyle-women,2016
5317,7.0,Flora MOLNAR  HUN,25.07,50m-freestyle-women,2016
5318,8.0,Graciele HERRMANN  BRA,25.6,50m-freestyle-women,2016
5319,1.0,Francesca HALSALL  GBR,24.26,50m-freestyle-women,2016
5320,2.0,Jeanette OTTESEN  DEN,24.48,50m-freestyle-women,2016
5321,3.0,Cate CAMPBELL  AUS,24.52,50m-freestyle-women,2016
5322,4.0,Simone MANUEL  USA,24.71,50m-freestyle-women,2016
5323,5.0,Therese ALSHAMMAR  SWE,24.73,50m-freestyle-women,2016
5324,6.0,Etiene MEDEIROS  BRA,24.82,50m-freestyle-women,2016
5325,7.0,Silvia DI PIETRO  ITA,24.89,50m-freestyle-women,2016
5326,8.0,Rozaliya NASRETDINOVA  RUS,24.94,50m-freestyle-women,2016
5327,1.0,Pernille BLUME  DEN,24.23,50m-freestyle-women,2016
5328,2.0,Bronte CAMPBELL  AUS,24.45,50m-freestyle-women,2016
5329,3.0,Sarah SJOSTROM  SWE,24.66,50m-freestyle-women,2016
5330,4.0,Dorothea BRANDT  GER,24.77,50m-freestyle-women,2016
5331,4.0,Arianna VANDERPOOL-WALLACE  BAH,24.77,50m-freestyle-women,2016
5332,6.0,Michelle WILLIAMS  CAN,24.91,50m-freestyle-women,2016
5333,7.0,Natalia LOVTCOVA  RUS,25.55,50m-freestyle-women,2016
5334,G,Yang SUN  CHN,1.44.65,200m-freestyle-men,2016
5335,S,Chad LE CLOS  RSA,1.45.20,200m-freestyle-men,2016
5336,B,Conor DWYER  USA,1.45.23,200m-freestyle-men,2016
5337,4.,James GUY  GBR,1.45.49,200m-freestyle-men,2016
5338,5.,Townley HAAS  USA,1.45.58,200m-freestyle-men,2016
5339,6.,Paul BIEDERMANN  GER,1.45.84,200m-freestyle-men,2016
5340,7.,Kōsuke HAGINO  JPN,1.45.90,200m-freestyle-men,2016
5341,8.,Aleksandr KRASNYKH  RUS,1.45.91,200m-freestyle-men,2016
5342,1.0,Conor DWYER  USA,1.45.55,200m-freestyle-men,2016
5343,2.0,Paul BIEDERMANN  GER,1.45.69,200m-freestyle-men,2016
5344,3.0,James GUY  GBR,1.46.23,200m-freestyle-men,2016
5345,4.0,Kacper MAJCHRZAK  POL,1.46.30,200m-freestyle-men,2016
5346,5.0,Sebastiaan VERSCHUREN  NED,1.46.34,200m-freestyle-men,2016
5347,6.0,Devon Myles William BROWN  RSA,1.46.57,200m-freestyle-men,2016
5348,7.0,Velimir STJEPANOVIC  SRB,1.47.28,200m-freestyle-men,2016
5349,8.0,Glenn SURGELOOSE  BEL,1.47.36,200m-freestyle-men,2016
5350,1.0,Yang SUN  CHN,1.44.63,200m-freestyle-men,2016
5351,2.0,Kōsuke HAGINO  JPN,1.45.45,200m-freestyle-men,2016
5352,3.0,Aleksandr KRASNYKH  RUS,1.45.69,200m-freestyle-men,2016
5353,4.0,Townley HAAS  USA,1.45.92,200m-freestyle-men,2016
5354,5.0,Chad LE CLOS  RSA,1.45.94,200m-freestyle-men,2016
5355,6.0,Thomas FRASER-HOLMES  AUS,1.46.24,200m-freestyle-men,2016
5356,7.0,Dominik KOZMA  HUN,1.47.53,200m-freestyle-men,2016
5357,8.0,Cristian QUINTERO VALERO  VEN,1.48.00,200m-freestyle-men,2016
5358,1.0,Khader Ghetrich BAQLAH  JOR,1.48.42,200m-freestyle-men,2016
5359,2.0,Alexei SANCOV  MDA,1.48.85,200m-freestyle-men,2016
5360,3.0,Anze TAVCAR  SLO,1.49.96,200m-freestyle-men,2016
5361,4.0,Marcelo Alberto ACOSTA JIMENEZ  ESA,1.51.46,200m-freestyle-men,2016
5362,5.0,Noah MASCOLL-GOMES  ANT,1.53.16,200m-freestyle-men,2016
5363,6.0,Mikel SCHREUDERS  ARU,1.55.10,200m-freestyle-men,2016
5364,7.0,Brandon SCHUSTER  SAM,1.57.72,200m-freestyle-men,2016
5365,8.0,Ahmed GEBREL  PLE,1.59.71,200m-freestyle-men,2016
5366,1.0,Cristian QUINTERO VALERO  VEN,1.47.02,200m-freestyle-men,2016
5367,2.0,Keyuan SHANG  CHN,1.48.46,200m-freestyle-men,2016
5368,3.0,Marco BELOTTI  ITA,1.48.71,200m-freestyle-men,2016
5369,4.0,Cam KURLE  GBR,1.49.08,200m-freestyle-men,2016
5370,5.0,Alexandre HALDEMANN  SUI,1.49.94,200m-freestyle-men,2016
5371,6.0,Henrik CHRISTIANSEN  NOR,1.50.09,200m-freestyle-men,2016
5372,7.0,Ahmed MATHLOUTHI  TUN,1.50.39,200m-freestyle-men,2016
5373,7.0,Phuoc HOANG  VIE,1.50.39,200m-freestyle-men,2016
5374,1.0,Felix AUBOECK  AUT,1.47.24,200m-freestyle-men,2016
5375,2.0,Matthew STANLEY  NZL,1.47.37,200m-freestyle-men,2016
5376,3.0,Federico GRABICH  ARG,1.47.41,200m-freestyle-men,2016
5377,4.0,Andrea DARRIGO  ITA,1.47.46,200m-freestyle-men,2016
5378,5.0,Marwan ELKAMASH  EGY,1.47.52,200m-freestyle-men,2016
5379,6.0,Welson SIM  MAS,1.47.67,200m-freestyle-men,2016
5380,7.0,Nikita LOBINTSEV  RUS,1.49.35,200m-freestyle-men,2016
5381,8.0,Peter BERNEK  HUN,1.49.73,200m-freestyle-men,2016
5382,1.0,Paul BIEDERMANN  GER,1.45.78,200m-freestyle-men,2016
5383,2.0,Townley HAAS  USA,1.46.13,200m-freestyle-men,2016
5384,3.0,Jeremy STRAVIUS  FRA,1.46.67,200m-freestyle-men,2016
5385,4.0,Dominik KOZMA  HUN,1.46.68,200m-freestyle-men,2016
5386,5.0,Glenn SURGELOOSE  BEL,1.47.19,200m-freestyle-men,2016
5387,6.0,Yannick AGNEL  FRA,1.47.35,200m-freestyle-men,2016
5388,7.0,Joao DE LUCCA  BRA,1.47.63,200m-freestyle-men,2016
5389,1.0,Yang SUN  CHN,1.45.75,200m-freestyle-men,2016
5390,2.0,Chad LE CLOS  RSA,1.45.89,200m-freestyle-men,2016
5391,3.0,Sebastiaan VERSCHUREN  NED,1.46.32,200m-freestyle-men,2016
5392,4.0,Thomas FRASER-HOLMES  AUS,1.46.49,200m-freestyle-men,2016
5393,5.0,Devon Myles William BROWN  RSA,1.46.78,200m-freestyle-men,2016
5394,6.0,Kacper MAJCHRZAK  POL,1.47.12,200m-freestyle-men,2016
5395,7.0,Christoph FILDEBRANDT  GER,1.47.81,200m-freestyle-men,2016
5396,8.0,David MCKEON  AUS,1.48.38,200m-freestyle-men,2016
5397,1.0,Conor DWYER  USA,1.45.95,200m-freestyle-men,2016
5398,2.0,James GUY  GBR,1.46.13,200m-freestyle-men,2016
5399,3.0,Kōsuke HAGINO  JPN,1.46.19,200m-freestyle-men,2016
5400,4.0,Velimir STJEPANOVIC  SRB,1.46.64,200m-freestyle-men,2016
5401,5.0,Aleksandr KRASNYKH  RUS,1.47.15,200m-freestyle-men,2016
5402,6.0,Matias KOSKI  FIN,1.47.40,200m-freestyle-men,2016
5403,7.0,Dion DREESENS  NED,1.47.76,200m-freestyle-men,2016
5404,8.0,Tae-hwan PARK  KOR,1.48.06,200m-freestyle-men,2016
5405,G,Ryan MURPHY  USA,1.53.62,200m-backstroke-men,2016
5406,S,Mitch LARKIN  AUS,1.53.96,200m-backstroke-men,2016
5407,B,Evgeny RYLOV  RUS,1.53.97,200m-backstroke-men,2016
5408,4.,Jiayu XU  CHN,1.55.16,200m-backstroke-men,2016
5409,5.,Jacob PEBLEY  USA,1.55.52,200m-backstroke-men,2016
5410,6.,Guangyuan LI  CHN,1.55.89,200m-backstroke-men,2016
5411,7.,Christian DIENER  GER,1.56.27,200m-backstroke-men,2016
5412,8.,Ryosuke IRIE  JPN,1.56.36,200m-backstroke-men,2016
5413,1.0,Ryan MURPHY  USA,1.55.15,200m-backstroke-men,2016
5414,2.0,Jiayu XU  CHN,1.55.66,200m-backstroke-men,2016
5415,3.0,Ryosuke IRIE  JPN,1.56.31,200m-backstroke-men,2016
5416,4.0,Jan-Philip GLANIA  GER,1.56.53,200m-backstroke-men,2016
5417,5.0,Joshua BEAVER  AUS,1.56.57,200m-backstroke-men,2016
5418,6.0,Leonardo DE DEUS  BRA,1.57.67,200m-backstroke-men,2016
5419,7.0,Yakov TOUMARKIN  ISR,1.58.63,200m-backstroke-men,2016
5420,8.0,Hugo GONZALEZ DE OLIVEIRA  ESP,1.59.08,200m-backstroke-men,2016
5421,1.0,Evgeny RYLOV  RUS,1.54.45,200m-backstroke-men,2016
5422,2.0,Mitch LARKIN  AUS,1.54.73,200m-backstroke-men,2016
5423,3.0,Jacob PEBLEY  USA,1.54.92,200m-backstroke-men,2016
5424,4.0,Guangyuan LI  CHN,1.55.92,200m-backstroke-men,2016
5425,5.0,Christian DIENER  GER,1.56.37,200m-backstroke-men,2016
5426,6.0,Masaki KANEKO  JPN,1.56.78,200m-backstroke-men,2016
5427,7.0,Andrei SHABASOV  RUS,1.56.84,200m-backstroke-men,2016
5428,8.0,Corey MAIN  NZL,1.58.08,200m-backstroke-men,2016
5429,1.0,Robert GLINTA  ROU,1.57.91,200m-backstroke-men,2016
5430,2.0,Rexford TULLIUS  ISV,1.59.14,200m-backstroke-men,2016
5431,3.0,Boris KIRILLOV  AZE,2.05.01,200m-backstroke-men,2016
5432,1.0,Evgeny RYLOV  RUS,1.55.02,200m-backstroke-men,2016
5433,2.0,Jiayu XU  CHN,1.55.51,200m-backstroke-men,2016
5434,3.0,Jan-Philip GLANIA  GER,1.56.50,200m-backstroke-men,2016
5435,4.0,Christian DIENER  GER,1.56.62,200m-backstroke-men,2016
5436,5.0,Masaki KANEKO  JPN,1.57.19,200m-backstroke-men,2016
5437,6.0,Adam TELEGDY  HUN,1.59.09,200m-backstroke-men,2016
5438,7.0,Mikita TSMYH  BLR,2.00.96,200m-backstroke-men,2016
5439,1.0,Ryan MURPHY  USA,1.56.29,200m-backstroke-men,2016
5440,2.0,Jacob PEBLEY  USA,1.56.44,200m-backstroke-men,2016
5441,3.0,Guangyuan LI  CHN,1.56.85,200m-backstroke-men,2016
5442,4.0,Hugo GONZALEZ DE OLIVEIRA  ESP,1.57.50,200m-backstroke-men,2016
5443,5.0,Yakov TOUMARKIN  ISR,1.57.58,200m-backstroke-men,2016
5444,6.0,David FOLDHAZI  HUN,1.59.69,200m-backstroke-men,2016
5445,6.0,Omar Andres PINZON GARCIA  COL,1.59.69,200m-backstroke-men,2016
5446,8.0,Apostolos CHRISTOU  GRE,1.59.78,200m-backstroke-men,2016
5447,1.0,Mitch LARKIN  AUS,1.56.01,200m-backstroke-men,2016
5448,2.0,Andrei SHABASOV  RUS,1.56.50,200m-backstroke-men,2016
5449,3.0,Ryosuke IRIE  JPN,1.56.61,200m-backstroke-men,2016
5450,4.0,Joshua BEAVER  AUS,1.56.65,200m-backstroke-men,2016
5451,5.0,Leonardo DE DEUS  BRA,1.57.00,200m-backstroke-men,2016
5452,6.0,Corey MAIN  NZL,1.57.51,200m-backstroke-men,2016
5453,7.0,Radoslaw KAWECKI  POL,1.57.61,200m-backstroke-men,2016
5454,8.0,Danas RAPSYS  LTU,1.59.58,200m-backstroke-men,2016
5455,G,Michael PHELPS  USA,1.54.66,200m-individual-medley-men,2016
5456,S,Kōsuke HAGINO  JPN,1.56.61,200m-individual-medley-men,2016
5457,B,Shun WANG  CHN,1.57.05,200m-individual-medley-men,2016
5458,4.,Hiromasa FUJIMORI  JPN,1.57.21,200m-individual-medley-men,2016
5459,5.,Ryan LOCHTE  USA,1.57.47,200m-individual-medley-men,2016
5460,6.,Philip HEINTZ  GER,1.57.48,200m-individual-medley-men,2016
5461,7.,Thiago PEREIRA  BRA,1.58.02,200m-individual-medley-men,2016
5462,8.,Dan WALLACE  GBR,1.58.54,200m-individual-medley-men,2016
5463,1.0,Kōsuke HAGINO  JPN,1.57.38,200m-individual-medley-men,2016
5464,2.0,Shun WANG  CHN,1.58.12,200m-individual-medley-men,2016
5465,3.0,Philip HEINTZ  GER,1.58.85,200m-individual-medley-men,2016
5466,4.0,Henrique RODRIGUES  BRA,1.59.23,200m-individual-medley-men,2016
5467,5.0,Alexis MANACAS da SILVA SANTOS  POR,2.00.08,200m-individual-medley-men,2016
5468,6.0,Bradlee ASHBY  NZL,2.00.45,200m-individual-medley-men,2016
5469,7.0,Eduardo SOLAECHE GOMEZ  ESP,2.00.47,200m-individual-medley-men,2016
5470,8.0,Simon SJODIN  SWE,2.00.81,200m-individual-medley-men,2016
5471,1.0,Michael PHELPS  USA,1.55.78,200m-individual-medley-men,2016
5472,2.0,Ryan LOCHTE  USA,1.56.28,200m-individual-medley-men,2016
5473,3.0,Thiago PEREIRA  BRA,1.57.11,200m-individual-medley-men,2016
5474,4.0,Dan WALLACE  GBR,1.57.97,200m-individual-medley-men,2016
5475,5.0,Hiromasa FUJIMORI  JPN,1.58.20,200m-individual-medley-men,2016
5476,6.0,Ieuan LLOYD  GBR,1.59.49,200m-individual-medley-men,2016
5477,7.0,Andreas VAZAIOS  GRE,1.59.54,200m-individual-medley-men,2016
5478,8.0,Jeremy DESPLANCHES  SUI,2.00.38,200m-individual-medley-men,2016
5479,1.0,Raphael STACCHIOTTI  LUX,2.00.21,200m-individual-medley-men,2016
5480,2.0,Yixuan HU  CHN,2.00.70,200m-individual-medley-men,2016
5481,3.0,Emmanuel VANLUCHENE  BEL,2.01.36,200m-individual-medley-men,2016
5482,4.0,Uvis KALNINS  LAT,2.02.34,200m-individual-medley-men,2016
5483,5.0,Marko BLAZHEVSKI  MKD,2.02.54,200m-individual-medley-men,2016
5484,6.0,Ahmed MATHLOUTHI  TUN,2.04.95,200m-individual-medley-men,2016
5485,1.0,Ryan LOCHTE  USA,1.57.38,200m-individual-medley-men,2016
5486,2.0,Philip HEINTZ  GER,1.57.59,200m-individual-medley-men,2016
5487,3.0,Henrique RODRIGUES  BRA,1.58.56,200m-individual-medley-men,2016
5488,4.0,Alexis MANACAS da SILVA SANTOS  POR,1.59.67,200m-individual-medley-men,2016
5489,5.0,Travis MAHONEY  AUS,2.00.18,200m-individual-medley-men,2016
5490,6.0,Mohamed HUSSEIN  EGY,2.02.36,200m-individual-medley-men,2016
5491,1.0,Kōsuke HAGINO  JPN,1.58.79,200m-individual-medley-men,2016
5492,2.0,Shun WANG  CHN,1.58.98,200m-individual-medley-men,2016
5493,3.0,Andreas VAZAIOS  GRE,1.59.33,200m-individual-medley-men,2016
5494,4.0,Dan WALLACE  GBR,1.59.44,200m-individual-medley-men,2016
5495,5.0,Jeremy DESPLANCHES  SUI,1.59.67,200m-individual-medley-men,2016
5496,6.0,Gal NEVO  ISR,1.59.80,200m-individual-medley-men,2016
5497,7.0,Semen MAKOVICH  RUS,1.59.86,200m-individual-medley-men,2016
5498,1.0,Michael PHELPS  USA,1.58.41,200m-individual-medley-men,2016
5499,2.0,Thiago PEREIRA  BRA,1.58.63,200m-individual-medley-men,2016
5500,3.0,Hiromasa FUJIMORI  JPN,1.58.88,200m-individual-medley-men,2016
5501,4.0,Simon SJODIN  SWE,1.59.41,200m-individual-medley-men,2016
5502,5.0,Eduardo SOLAECHE GOMEZ  ESP,1.59.67,200m-individual-medley-men,2016
5503,6.0,Ieuan LLOYD  GBR,1.59.74,200m-individual-medley-men,2016
5504,7.0,Bradlee ASHBY  NZL,1.59.77,200m-individual-medley-men,2016
5505,8.0,Diogo CARVALHO  POR,2.00.17,200m-individual-medley-men,2016
5506,G,Kōsuke HAGINO  JPN,4.06.05,400m-individual-medley-men,2016
5507,S,Chase KALISZ  USA,4.06.75,400m-individual-medley-men,2016
5508,B,Daiya SETO  JPN,4.09.71,400m-individual-medley-men,2016
5509,4.,Max LITCHFIELD  GBR,4.11.62,400m-individual-medley-men,2016
5510,5.,Jay LITHERLAND  USA,4.11.68,400m-individual-medley-men,2016
5511,6.,Thomas FRASER-HOLMES  AUS,4.11.90,400m-individual-medley-men,2016
5512,7.,Travis MAHONEY  AUS,4.15.48,400m-individual-medley-men,2016
5513,8.,Joan Lluis PONS RAMON  ESP,4.16.58,400m-individual-medley-men,2016
5514,1.0,Christoph MEIER  LIE,4.19.19,400m-individual-medley-men,2016
5515,2.0,Pedro Miguel PINOTES  ANG,4.25.84,400m-individual-medley-men,2016
5516,3.0,Luis Emigdio VEGA TORRES  CUB,4.27.27,400m-individual-medley-men,2016
5517,1.0,Travis MAHONEY  AUS,4.13.37,400m-individual-medley-men,2016
5518,2.0,Joan Lluis PONS RAMON  ESP,4.13.55,400m-individual-medley-men,2016
5519,3.0,Jeremy DESPLANCHES  SUI,4.15.46,400m-individual-medley-men,2016
5520,4.0,Alexis MANACAS da SILVA SANTOS  POR,4.15.84,400m-individual-medley-men,2016
5521,5.0,Michael MEYER  RSA,4.18.13,400m-individual-medley-men,2016
5522,6.0,Gal NEVO  ISR,4.18.29,400m-individual-medley-men,2016
5523,7.0,Raphael STACCHIOTTI  LUX,4.20.37,400m-individual-medley-men,2016
5524,8.0,Pavel JANECEK  CZE,4.22.09,400m-individual-medley-men,2016
5525,1.0,Kōsuke HAGINO  JPN,4.10.00,400m-individual-medley-men,2016
5526,2.0,Max LITCHFIELD  GBR,4.11.95,400m-individual-medley-men,2016
5527,3.0,Thomas FRASER-HOLMES  AUS,4.12.51,400m-individual-medley-men,2016
5528,4.0,Richard NAGY  SVK,4.13.87,400m-individual-medley-men,2016
5529,5.0,Shun WANG  CHN,4.14.46,400m-individual-medley-men,2016
5530,6.0,Gergely GYURTA  HUN,4.14.81,400m-individual-medley-men,2016
5531,7.0,David Zoltan VERRASZTO  HUN,4.15.04,400m-individual-medley-men,2016
5532,8.0,Johannes HINTZE  GER,4.18.25,400m-individual-medley-men,2016
5533,1.0,Chase KALISZ  USA,4.08.12,400m-individual-medley-men,2016
5534,2.0,Daiya SETO  JPN,4.08.47,400m-individual-medley-men,2016
5535,3.0,Jay LITHERLAND  USA,4.11.10,400m-individual-medley-men,2016
5536,4.0,Brandonn ALMEIDA  BRA,4.17.25,400m-individual-medley-men,2016
5537,5.0,Luca MARIN  ITA,4.17.88,400m-individual-medley-men,2016
5538,6.0,Federico TURRINI  ITA,4.18.39,400m-individual-medley-men,2016
5539,7.0,Sebastien Daniel ROUSSEAU  RSA,4.18.72,400m-individual-medley-men,2016
5540,G,-,3.30.65,4x100m-freestyle-relay-women,2016
5541,S,-,3.31.89,4x100m-freestyle-relay-women,2016
5542,B,-,3.32.89,4x100m-freestyle-relay-women,2016
5543,4.,-,3.33.81,4x100m-freestyle-relay-women,2016
5544,5.,-,3.35.90,4x100m-freestyle-relay-women,2016
5545,6.,-,3.36.78,4x100m-freestyle-relay-women,2016
5546,7.,-,3.37.45,4x100m-freestyle-relay-women,2016
5547,8.,-,3.37.78,4x100m-freestyle-relay-women,2016
5548,1.0,-,3.35.90,4x100m-freestyle-relay-women,2016
5549,2.0,-,3.35.94,4x100m-freestyle-relay-women,2016
5550,3.0,-,3.36.42,4x100m-freestyle-relay-women,2016
5551,4.0,-,3.36.74,4x100m-freestyle-relay-women,2016
5552,5.0,-,3.37.25,4x100m-freestyle-relay-women,2016
5553,6.0,-,3.39.45,4x100m-freestyle-relay-women,2016
5554,7.0,-,3.41.43,4x100m-freestyle-relay-women,2016
5555,8.0,-,3.41.97,4x100m-freestyle-relay-women,2016
5556,1.0,-,3.32.39,4x100m-freestyle-relay-women,2016
5557,2.0,-,3.33.59,4x100m-freestyle-relay-women,2016
5558,3.0,-,3.33.84,4x100m-freestyle-relay-women,2016
5559,4.0,-,3.36.85,4x100m-freestyle-relay-women,2016
5560,5.0,-,3.37.68,4x100m-freestyle-relay-women,2016
5561,6.0,-,3.39.40,4x100m-freestyle-relay-women,2016
5562,7.0,-,3.40.46,4x100m-freestyle-relay-women,2016
5563,8.0,-,3.41.02,4x100m-freestyle-relay-women,2016
5564,G,Penny OLEKSIAK  CAN,52.7,100m-freestyle-women,2016
5565,G,Simone MANUEL  USA,52.7,100m-freestyle-women,2016
5566,B,Sarah SJOSTROM  SWE,52.99,100m-freestyle-women,2016
5567,4.,Bronte CAMPBELL  AUS,53.04,100m-freestyle-women,2016
5568,5.,Ranomi KROMOWIDJOJO  NED,53.08,100m-freestyle-women,2016
5569,6.,Cate CAMPBELL  AUS,53.24,100m-freestyle-women,2016
5570,7.,Abbey WEITZEIL  USA,53.3,100m-freestyle-women,2016
5571,8.,Jeanette OTTESEN  DEN,53.36,100m-freestyle-women,2016
5572,1.0,Simone MANUEL  USA,53.11,100m-freestyle-women,2016
5573,2.0,Bronte CAMPBELL  AUS,53.29,100m-freestyle-women,2016
5574,3.0,Jeanette OTTESEN  DEN,53.35,100m-freestyle-women,2016
5575,4.0,Ranomi KROMOWIDJOJO  NED,53.42,100m-freestyle-women,2016
5576,5.0,Menghui ZHU  CHN,53.98,100m-freestyle-women,2016
5577,6.0,Miki UCHIDA  JPN,54.39,100m-freestyle-women,2016
5578,7.0,Charlotte BONNET  FRA,54.54,100m-freestyle-women,2016
5579,8.0,Etiene MEDEIROS  BRA,54.59,100m-freestyle-women,2016
5580,1.0,Cate CAMPBELL  AUS,52.71,100m-freestyle-women,2016
5581,2.0,Penny OLEKSIAK  CAN,52.72,100m-freestyle-women,2016
5582,3.0,Sarah SJOSTROM  SWE,53.16,100m-freestyle-women,2016
5583,4.0,Abbey WEITZEIL  USA,53.53,100m-freestyle-women,2016
5584,5.0,Chantal VAN LANDEGHEM  CAN,54.0,100m-freestyle-women,2016
5585,6.0,Pernille BLUME  DEN,54.19,100m-freestyle-women,2016
5586,7.0,Rikako IKEE  JPN,54.31,100m-freestyle-women,2016
5587,8.0,Aliaksandra HERASIMENIA  BLR,54.34,100m-freestyle-women,2016
5588,1.0,Ines REMERSARO  URU,57.85,100m-freestyle-women,2016
5589,2.0,Ana Sofia NOBREGA  ANG,59.23,100m-freestyle-women,2016
5590,3.0,Fatima ALKARAMOVA  AZE,59.43,100m-freestyle-women,2016
5591,4.0,Jovana TERZIC  MNE,59.59,100m-freestyle-women,2016
5592,5.0,Nikol MERIZAJ  ALB,59.99,100m-freestyle-women,2016
5593,6.0,Estellah FILS RABETSARA  MAD,1.01.11,100m-freestyle-women,2016
5594,7.0,Yusra MARDINI  ROT,1.04.66,100m-freestyle-women,2016
5595,8.0,Aminath SHAJAN  MDV,1.05.71,100m-freestyle-women,2016
5596,1.0,Susann BJORNSEN  NOR,55.35,100m-freestyle-women,2016
5597,2.0,Natthanan JUNKRAJANG  THA,56.24,100m-freestyle-women,2016
5598,3.0,Jasmine ALKHALDI  PHI,56.3,100m-freestyle-women,2016
5599,4.0,Jade HOWARD  ZAM,58.47,100m-freestyle-women,2016
5600,5.0,Ana Iulia DASCAL  ROU,58.72,100m-freestyle-women,2016
5601,6.0,Arseth HEATHER  MRI,58.89,100m-freestyle-women,2016
5602,7.0,Tracy KEITH-MATCHITT  COK,58.99,100m-freestyle-women,2016
5603,8.0,Karen RIVEROS SCHULZ  PAR,59.0,100m-freestyle-women,2016
5604,1.0,Veronika POPOVA  RUS,54.6,100m-freestyle-women,2016
5605,2.0,Maria UGOLKOVA  SUI,54.85,100m-freestyle-women,2016
5606,3.0,Camille CHENG  HKG,54.92,100m-freestyle-women,2016
5607,4.0,Julie MEYNEN  LUX,55.09,100m-freestyle-women,2016
5608,5.0,Erika FERRAIOLI  ITA,55.2,100m-freestyle-women,2016
